,Station,Lat,Lon,Year,Month,Max Temp,Min Temp,Air Frost,Total Rain,Total Sun
0,Aberporth,52.139,-4.57,1941.0,1.0,14.528805970149245,6.111492537313434,4.362686567164179,74.7,127.91776765375853
1,Aberporth,52.139,-4.57,1941.0,2.0,14.528805970149245,6.111492537313434,4.362686567164179,69.1,127.91776765375853
2,Aberporth,52.139,-4.57,1941.0,3.0,14.528805970149245,6.111492537313434,4.362686567164179,76.2,127.91776765375853
3,Aberporth,52.139,-4.57,1941.0,4.0,14.528805970149245,6.111492537313434,4.362686567164179,33.7,127.91776765375853
4,Aberporth,52.139,-4.57,1941.0,5.0,14.528805970149245,6.111492537313434,4.362686567164179,51.3,127.91776765375853
5,Aberporth,52.139,-4.57,1941.0,6.0,14.528805970149245,6.111492537313434,4.362686567164179,25.7,127.91776765375853
6,Aberporth,52.139,-4.57,1941.0,7.0,14.528805970149245,6.111492537313434,4.362686567164179,53.9,127.91776765375853
7,Aberporth,52.139,-4.57,1941.0,8.0,14.528805970149245,6.111492537313434,4.362686567164179,91.8,127.91776765375853
8,Aberporth,52.139,-4.57,1941.0,9.0,14.528805970149245,6.111492537313434,4.362686567164179,25.5,127.91776765375853
9,Aberporth,52.139,-4.57,1941.0,10.0,14.528805970149245,6.111492537313434,4.362686567164179,106.2,127.91776765375853
10,Aberporth,52.139,-4.57,1941.0,11.0,14.528805970149245,6.111492537313434,4.362686567164179,92.3,127.91776765375853
11,Aberporth,52.139,-4.57,1941.0,12.0,14.528805970149245,6.111492537313434,4.362686567164179,86.5,127.91776765375853
12,Aberporth,52.139,-4.57,1942.0,1.0,5.8,2.1,4.362686567164179,114.0,58.0
13,Aberporth,52.139,-4.57,1942.0,2.0,4.2,-0.6,4.362686567164179,13.8,80.3
14,Aberporth,52.139,-4.57,1942.0,3.0,9.7,3.7,4.362686567164179,58.0,117.9
15,Aberporth,52.139,-4.57,1942.0,4.0,13.1,5.3,4.362686567164179,42.5,200.1
16,Aberporth,52.139,-4.57,1942.0,5.0,14.0,6.9,4.362686567164179,101.1,215.1
17,Aberporth,52.139,-4.57,1942.0,6.0,16.2,9.9,4.362686567164179,2.3,269.3
18,Aberporth,52.139,-4.57,1942.0,7.0,17.4,11.3,4.362686567164179,70.2,185.0
19,Aberporth,52.139,-4.57,1942.0,8.0,18.7,12.3,4.362686567164179,78.5,141.9
20,Aberporth,52.139,-4.57,1942.0,9.0,16.4,10.7,4.362686567164179,146.8,129.1
21,Aberporth,52.139,-4.57,1942.0,10.0,13.1,8.2,4.362686567164179,131.1,82.1
22,Aberporth,52.139,-4.57,1942.0,11.0,9.2,4.6,4.362686567164179,19.8,62.9
23,Aberporth,52.139,-4.57,1942.0,12.0,9.6,6.2,4.362686567164179,183.9,31.4
24,Aberporth,52.139,-4.57,1943.0,1.0,8.2,3.5,4.362686567164179,176.7,41.4
25,Aberporth,52.139,-4.57,1943.0,2.0,8.9,4.6,4.362686567164179,65.4,68.6
26,Aberporth,52.139,-4.57,1943.0,3.0,10.2,4.1,4.362686567164179,21.0,156.2
27,Aberporth,52.139,-4.57,1943.0,4.0,13.0,6.8,4.362686567164179,39.4,178.3
28,Aberporth,52.139,-4.57,1943.0,5.0,14.1,7.4,4.362686567164179,83.5,233.3
29,Aberporth,52.139,-4.57,1943.0,6.0,15.9,9.8,4.362686567164179,58.7,223.8
30,Aberporth,52.139,-4.57,1943.0,7.0,18.6,11.7,4.362686567164179,57.3,240.5
31,Aberporth,52.139,-4.57,1943.0,8.0,18.1,12.0,4.362686567164179,86.5,148.0
32,Aberporth,52.139,-4.57,1943.0,9.0,15.8,10.0,4.362686567164179,127.1,110.6
33,Aberporth,52.139,-4.57,1943.0,10.0,13.6,8.3,4.362686567164179,120.3,93.7
34,Aberporth,52.139,-4.57,1943.0,11.0,9.7,5.9,4.362686567164179,93.0,47.4
35,Aberporth,52.139,-4.57,1943.0,12.0,6.9,2.7,4.362686567164179,63.6,75.3
36,Aberporth,52.139,-4.57,1944.0,1.0,9.2,5.8,4.362686567164179,87.9,23.7
37,Aberporth,52.139,-4.57,1944.0,2.0,6.5,3.1,4.362686567164179,34.0,72.5
38,Aberporth,52.139,-4.57,1944.0,3.0,8.6,3.1,4.362686567164179,17.0,153.2
39,Aberporth,52.139,-4.57,1944.0,4.0,12.7,6.6,4.362686567164179,44.9,157.1
40,Aberporth,52.139,-4.57,1944.0,5.0,13.8,7.0,4.362686567164179,37.2,242.3
41,Aberporth,52.139,-4.57,1944.0,6.0,15.4,9.9,4.362686567164179,53.2,182.2
42,Aberporth,52.139,-4.57,1944.0,7.0,18.2,12.6,4.362686567164179,54.5,112.7
43,Aberporth,52.139,-4.57,1944.0,8.0,19.7,12.8,4.362686567164179,100.2,220.9
44,Aberporth,52.139,-4.57,1944.0,9.0,15.7,10.3,4.362686567164179,80.7,132.7
45,Aberporth,52.139,-4.57,1944.0,10.0,12.1,7.8,4.362686567164179,131.9,91.0
46,Aberporth,52.139,-4.57,1944.0,11.0,9.5,5.8,4.362686567164179,156.2,28.9
47,Aberporth,52.139,-4.57,1944.0,12.0,7.7,4.3,4.362686567164179,71.9,58.5
48,Aberporth,52.139,-4.57,1945.0,1.0,4.5,1.3,4.362686567164179,58.8,58.1
49,Aberporth,52.139,-4.57,1945.0,2.0,9.6,5.1,4.362686567164179,110.7,80.4
50,Aberporth,52.139,-4.57,1945.0,3.0,10.4,5.2,4.362686567164179,34.3,124.1
51,Aberporth,52.139,-4.57,1945.0,4.0,13.3,6.6,4.362686567164179,55.1,205.1
52,Aberporth,52.139,-4.57,1945.0,5.0,14.3,8.3,4.362686567164179,82.8,166.3
53,Aberporth,52.139,-4.57,1945.0,6.0,16.5,10.2,4.362686567164179,68.5,193.7
54,Aberporth,52.139,-4.57,1945.0,7.0,17.4,12.2,4.362686567164179,130.6,130.0
55,Aberporth,52.139,-4.57,1945.0,8.0,18.1,11.9,4.362686567164179,41.9,164.2
56,Aberporth,52.139,-4.57,1945.0,9.0,17.1,11.3,4.362686567164179,61.2,101.0
57,Aberporth,52.139,-4.57,1945.0,10.0,15.2,9.1,4.362686567164179,66.9,117.5
58,Aberporth,52.139,-4.57,1945.0,11.0,10.7,5.6,4.362686567164179,34.7,78.4
59,Aberporth,52.139,-4.57,1945.0,12.0,8.9,5.1,4.362686567164179,116.2,36.1
60,Aberporth,52.139,-4.57,1946.0,1.0,6.9,2.2,4.362686567164179,138.0,67.6
61,Aberporth,52.139,-4.57,1946.0,2.0,8.2,4.9,4.362686567164179,78.6,53.0
62,Aberporth,52.139,-4.57,1946.0,3.0,8.7,2.6,4.362686567164179,28.9,146.9
63,Aberporth,52.139,-4.57,1946.0,4.0,12.8,6.3,4.362686567164179,30.9,192.2
64,Aberporth,52.139,-4.57,1946.0,5.0,14.1,6.7,4.362686567164179,59.3,236.5
65,Aberporth,52.139,-4.57,1946.0,6.0,14.6,8.8,4.362686567164179,79.4,197.5
66,Aberporth,52.139,-4.57,1946.0,7.0,17.1,11.2,4.362686567164179,62.6,186.8
67,Aberporth,52.139,-4.57,1946.0,8.0,16.3,11.0,4.362686567164179,121.6,159.9
68,Aberporth,52.139,-4.57,1946.0,9.0,16.3,11.3,4.362686567164179,103.1,105.7
69,Aberporth,52.139,-4.57,1946.0,10.0,14.528805970149245,8.2,4.362686567164179,40.9,106.8
70,Aberporth,52.139,-4.57,1946.0,11.0,14.528805970149245,7.6,4.362686567164179,152.3,47.8
71,Aberporth,52.139,-4.57,1946.0,12.0,7.2,3.1,4.362686567164179,106.6,56.7
72,Aberporth,52.139,-4.57,1947.0,1.0,5.8,1.4,4.362686567164179,122.9,78.0
73,Aberporth,52.139,-4.57,1947.0,2.0,14.528805970149245,-2.7,4.362686567164179,53.9,50.0
74,Aberporth,52.139,-4.57,1947.0,3.0,14.528805970149245,2.2,4.362686567164179,191.1,80.3
75,Aberporth,52.139,-4.57,1947.0,4.0,14.528805970149245,5.1,4.362686567164179,85.6,162.1
76,Aberporth,52.139,-4.57,1947.0,5.0,13.9,8.0,4.362686567164179,99.1,201.2
77,Aberporth,52.139,-4.57,1947.0,6.0,17.0,10.4,4.362686567164179,67.4,161.5
78,Aberporth,52.139,-4.57,1947.0,7.0,17.4,11.7,4.362686567164179,52.8,158.9
79,Aberporth,52.139,-4.57,1947.0,8.0,21.4,13.2,4.362686567164179,20.2,278.3
80,Aberporth,52.139,-4.57,1947.0,9.0,17.5,11.4,4.362686567164179,69.5,130.1
81,Aberporth,52.139,-4.57,1947.0,10.0,14.2,8.0,4.362686567164179,29.9,136.9
82,Aberporth,52.139,-4.57,1947.0,11.0,10.1,6.5,4.362686567164179,100.1,54.3
83,Aberporth,52.139,-4.57,1947.0,12.0,7.7,4.9,4.362686567164179,92.9,29.7
84,Aberporth,52.139,-4.57,1948.0,1.0,8.2,4.6,4.362686567164179,167.5,48.7
85,Aberporth,52.139,-4.57,1948.0,2.0,7.4,2.9,4.362686567164179,56.8,89.6
86,Aberporth,52.139,-4.57,1948.0,3.0,13.5,5.8,4.362686567164179,51.9,188.9
87,Aberporth,52.139,-4.57,1948.0,4.0,11.4,4.8,4.362686567164179,36.4,213.7
88,Aberporth,52.139,-4.57,1948.0,5.0,14.2,6.7,4.362686567164179,44.7,297.5
89,Aberporth,52.139,-4.57,1948.0,6.0,14.7,9.8,4.362686567164179,59.4,145.0
90,Aberporth,52.139,-4.57,1948.0,7.0,16.9,11.6,4.362686567164179,103.1,144.1
91,Aberporth,52.139,-4.57,1948.0,8.0,17.0,11.8,4.362686567164179,102.4,146.7
92,Aberporth,52.139,-4.57,1948.0,9.0,15.7,11.1,4.362686567164179,77.9,111.5
93,Aberporth,52.139,-4.57,1948.0,10.0,13.3,8.5,4.362686567164179,87.4,93.6
94,Aberporth,52.139,-4.57,1948.0,11.0,11.5,6.9,4.362686567164179,95.6,78.6
95,Aberporth,52.139,-4.57,1948.0,12.0,8.5,4.2,4.362686567164179,175.9,87.2
96,Aberporth,52.139,-4.57,1949.0,1.0,8.6,5.0,4.362686567164179,44.0,60.0
97,Aberporth,52.139,-4.57,1949.0,2.0,8.7,4.4,4.362686567164179,36.6,105.0
98,Aberporth,52.139,-4.57,1949.0,3.0,8.7,3.3,4.362686567164179,44.4,158.8
99,Aberporth,52.139,-4.57,1949.0,4.0,14.528805970149245,6.7,4.362686567164179,74.8,161.9
100,Aberporth,52.139,-4.57,1949.0,5.0,13.4,6.6,4.362686567164179,67.9,247.2
101,Aberporth,52.139,-4.57,1949.0,6.0,17.4,11.3,4.362686567164179,24.6,286.1
102,Aberporth,52.139,-4.57,1949.0,7.0,19.9,12.5,4.362686567164179,45.0,267.5
103,Aberporth,52.139,-4.57,1949.0,8.0,19.0,12.8,4.362686567164179,59.1,202.3
104,Aberporth,52.139,-4.57,1949.0,9.0,19.5,12.5,4.362686567164179,28.3,188.4
105,Aberporth,52.139,-4.57,1949.0,10.0,15.2,9.9,4.362686567164179,181.1,83.8
106,Aberporth,52.139,-4.57,1949.0,11.0,10.2,6.1,4.362686567164179,147.6,63.8
107,Aberporth,52.139,-4.57,1949.0,12.0,8.7,5.4,4.362686567164179,115.3,40.1
108,Aberporth,52.139,-4.57,1950.0,1.0,7.3,3.2,4.362686567164179,29.9,66.6
109,Aberporth,52.139,-4.57,1950.0,2.0,8.3,3.9,4.362686567164179,176.7,50.2
110,Aberporth,52.139,-4.57,1950.0,3.0,10.8,4.8,4.362686567164179,57.5,147.7
111,Aberporth,52.139,-4.57,1950.0,4.0,10.3,5.3,4.362686567164179,84.9,137.8
112,Aberporth,52.139,-4.57,1950.0,5.0,14.7,7.6,4.362686567164179,60.5,243.0
113,Aberporth,52.139,-4.57,1950.0,6.0,17.9,11.2,4.362686567164179,40.3,249.5
114,Aberporth,52.139,-4.57,1950.0,7.0,17.9,12.0,4.362686567164179,63.4,190.2
115,Aberporth,52.139,-4.57,1950.0,8.0,17.4,11.5,4.362686567164179,158.2,165.8
116,Aberporth,52.139,-4.57,1950.0,9.0,15.3,10.7,4.362686567164179,208.8,100.7
117,Aberporth,52.139,-4.57,1950.0,10.0,12.9,8.0,4.362686567164179,91.9,108.1
118,Aberporth,52.139,-4.57,1950.0,11.0,9.1,4.8,4.362686567164179,170.3,69.5
119,Aberporth,52.139,-4.57,1950.0,12.0,4.7,1.7,4.362686567164179,119.5,33.3
120,Aberporth,52.139,-4.57,1951.0,1.0,6.7,3.2,4.362686567164179,89.3,49.7
121,Aberporth,52.139,-4.57,1951.0,2.0,6.4,2.0,4.362686567164179,92.9,92.8
122,Aberporth,52.139,-4.57,1951.0,3.0,6.9,2.2,4.362686567164179,112.6,87.9
123,Aberporth,52.139,-4.57,1951.0,4.0,9.6,3.7,4.362686567164179,77.1,196.6
124,Aberporth,52.139,-4.57,1951.0,5.0,12.5,6.3,4.362686567164179,65.7,188.7
125,Aberporth,52.139,-4.57,1951.0,6.0,16.3,9.4,4.362686567164179,27.1,246.3
126,Aberporth,52.139,-4.57,1951.0,7.0,18.3,11.8,4.362686567164179,78.0,227.3
127,Aberporth,52.139,-4.57,1951.0,8.0,16.9,11.3,4.362686567164179,136.5,154.0
128,Aberporth,52.139,-4.57,1951.0,9.0,16.4,11.8,4.362686567164179,112.1,78.3
129,Aberporth,52.139,-4.57,1951.0,10.0,13.6,8.1,4.362686567164179,35.3,132.8
130,Aberporth,52.139,-4.57,1951.0,11.0,11.0,7.2,4.362686567164179,168.8,59.1
131,Aberporth,52.139,-4.57,1951.0,12.0,8.7,5.4,4.362686567164179,141.6,51.8
132,Aberporth,52.139,-4.57,1952.0,1.0,6.2,2.8,4.362686567164179,122.6,63.8
133,Aberporth,52.139,-4.57,1952.0,2.0,6.9,2.2,4.362686567164179,36.3,89.2
134,Aberporth,52.139,-4.57,1952.0,3.0,9.4,4.7,4.362686567164179,49.1,112.7
135,Aberporth,52.139,-4.57,1952.0,4.0,12.3,5.6,4.362686567164179,80.6,146.6
136,Aberporth,52.139,-4.57,1952.0,5.0,15.2,8.9,4.362686567164179,112.7,203.6
137,Aberporth,52.139,-4.57,1952.0,6.0,15.8,9.9,4.362686567164179,87.0,202.4
138,Aberporth,52.139,-4.57,1952.0,7.0,18.6,12.4,4.362686567164179,49.1,170.5
139,Aberporth,52.139,-4.57,1952.0,8.0,17.9,12.1,4.362686567164179,121.5,176.3
140,Aberporth,52.139,-4.57,1952.0,9.0,14.2,8.8,4.362686567164179,113.1,147.3
141,Aberporth,52.139,-4.57,1952.0,10.0,12.5,8.0,4.362686567164179,115.7,116.9
142,Aberporth,52.139,-4.57,1952.0,11.0,7.8,4.3,4.362686567164179,93.0,64.9
143,Aberporth,52.139,-4.57,1952.0,12.0,6.9,3.1,4.362686567164179,96.1,56.4
144,Aberporth,52.139,-4.57,1953.0,1.0,6.8,2.9,4.362686567164179,43.1,56.2
145,Aberporth,52.139,-4.57,1953.0,2.0,7.4,2.8,4.362686567164179,46.6,55.1
146,Aberporth,52.139,-4.57,1953.0,3.0,9.8,2.4,4.362686567164179,60.0,165.9
147,Aberporth,52.139,-4.57,1953.0,4.0,10.2,4.0,4.362686567164179,66.8,213.4
148,Aberporth,52.139,-4.57,1953.0,5.0,15.2,8.6,4.362686567164179,55.1,228.8
149,Aberporth,52.139,-4.57,1953.0,6.0,15.7,9.6,4.362686567164179,58.7,221.6
